Title,Published_date,Views,Likes,Comments
Shadab Khan Interview | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T18:21:44Z,34990,1229,34
Aamer Jamal Press Conference | HBL PSL 8,2023-03-16T18:21:16Z,40464,1790,53
You've been Salman-Struck! ❤️‍🔥#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:18:08Z,178133,8773,36
Maximum Drama! 😲#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:18:06Z,45531,2343,4
Halaat badal gaye? 😱Aamir Jamal doing everything right 👏#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:18:04Z,172102,7398,19
THUNDERBOLT ⚡⚡One incredible yorker 🤤#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:18:01Z,19662,1015,10
BREATHING. FIRE. 🔥Salman Irshad turning it 🆙 several notches 🤩#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:17:59Z,53846,2778,7
BULLSEYE 🎯Aamir Jamal runs off in celebration 🏃#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:17:57Z,39140,2693,5
Boundaries galore 🔥Alex Hales is having plenty of fun out there 🙌#HBLPSL8 | #IUvPZ,2023-03-16T18:17:55Z,9556,366,0
Second appearance of the season and scores a fifty💪Man of the hour Sohaib Maqsood😎#HBLPSL8 | #IUvPZ,2023-03-16T18:17:53Z,7166,279,1
⚠️ HALESTORM ALERT #HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:17:49Z,7323,276,1
Sohaib Maqsood demonstrates how to end the Powerplay perfectly 👌#HBLPSL8 | #IUvPZ,2023-03-16T18:17:47Z,6631,293,1
Super Sherus in blazing form 💥#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:17:44Z,3894,193,3
Omarzai draws first blood! ☝️#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T18:17:42Z,6014,316,2
Salman Irshad Interview | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T18:14:14Z,16375,651,21
2nd Innings Highlights | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T18:09:25Z,474785,8758,290
Shadab Khan Press Conference | HBL PSL 8,2023-03-16T18:04:38Z,56893,2394,92
Spectacular Batting By Alex Hales | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T17:34:13Z,22594,259,16
2nd Innings Powerplay | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T17:10:00Z,87992,824,16
1st Innings Highlights | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T16:14:27Z,556544,10065,196
Azhar Mahmood Interview | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T16:06:54Z,5472,133,5
Mubasir safely pouches it 🤲#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:04:12Z,6774,287,2
Hasan Ali closes curtains on Haris' bright cameo ✨#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:04:10Z,60778,2789,6
©️ gets ©️Skipper strikes gold! ☝️#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:04:08Z,6677,315,0
Shots like these make us go 🤯#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:04:06Z,114704,3758,6
2️⃣8️⃣-ball fifty 💪The 𝐁𝐢𝐠 𝐎𝐧𝐞 shines on! 🌟#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:04:04Z,5400,319,4
Smart glovework from Azam Khan 🧤Googly from the captain does the trick ©️#HBLPSL8 | #IUvPZ,2023-03-16T16:04:01Z,7823,298,2
Time for Mohammad Wasim Jnr to celebrate 🥳#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:03:59Z,12886,676,2
"𝙆𝙝𝙤𝙤𝙗𝙨𝙪𝙧𝙖𝙩 𝙨𝙝𝙤𝙩𝙚𝙣, 𝘽𝙖𝙗𝙖𝙧! 🤌#HBLPSL8 | #SabSitarayHumaray | #IUvPZ",2023-03-16T16:03:57Z,25577,775,3
Living on the edge is Saim Ayub! ⚡#HBLPSL8 | #SabSitarayHumaray | #IUvPZ,2023-03-16T16:03:55Z,26563,1361,2
Classy Batting By Babar Azam | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T15:45:00Z,55572,1374,90
1st Innings Powerplay | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T15:15:02Z,78766,989,16
He is everyone's favourite. The man with a plan. He is Daren Sammy the Head Coach of Peshawar Zalmi,2023-03-16T14:29:55Z,16939,377,16
Islamabad United vs Peshawar Zalmi | Pitch Side Pre-Match Studio Show | Match 32 | HBL PSL 8 | MI2T,2023-03-16T14:21:23Z,4724,85,1
Toss & Pitch Report | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T14:03:17Z,19148,551,17
Expert Advice | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T13:51:06Z,9795,199,8
Opener | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T13:44:54Z,21665,290,2
Hamaray Heroes powered by Kingdom Valley - Episode 32 l Dr. Sarah Qureshi,2023-03-16T12:38:39Z,7165,350,30
9️⃣0️⃣ metre hit = 8️⃣ runs? YES or NO with Babar Azam 🙌 | MI2T,2023-03-16T11:00:45Z,148223,9116,266
Let's Recap Lahore Qalandars Fall of Wickets And Boundaries | Match 31 | HBL PSL 8 | MI2T,2023-03-16T09:00:11Z,11667,264,20
HBL PSL 🌟 Star Life 🌟 With Abrar Ahmed | HBL PSL 8 | MI2T,2023-03-16T08:21:59Z,9707,434,10
Let's Recap Multan Sultans Fall of Wickets And Boundaries | Match 31 | HBL PSL 8 | MI2T,2023-03-16T07:00:05Z,6780,83,1
Outclass Batting By Kieron Pollard | Lahore vs Multan | Match 31 | HBL PSL 8 | MI2T,2023-03-16T05:00:15Z,8054,153,3
Full Highlights | Lahore Qalandars vs Multan Sultans | Match 31 | HBL PSL 8 | MI2T,2023-03-15T20:00:01Z,1434709,26330,556
Another Stellar performance by Kieron Pollard the 🌟| HBL PSL 8 | MI2T,2023-03-15T19:33:09Z,28987,845,20
Short Highlights | Lahore Qalandars vs Multan Sultans | Match 31 | HBL PSL 8 | MI2T,2023-03-15T19:32:34Z,839388,14488,416
Lahore Qalandars vs Multan Sultans | Pitch Side End of Day Studio Show | Match 31 | HBL PSL 8 | MI2T,2023-03-15T18:55:08Z,15776,323,17
Closer | Lahore Qalandars vs Multan Sultans | Match 31 | HBL PSL 8 | MI2T,2023-03-15T18:21:16Z,15517,345,24
Anwar Ali Interview | Lahore Qalandars vs Multan Sultans | Match 31 | HBL PSL 8 | MI2T,2023-03-15T18:16:12Z,12256,437,11
